can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,team_join_date,birth_date,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,team_id,team_name,position_name
True,True,,,154561,0,0,0,0,0,1,4.5,,0,David,0.0,1,False,,,55,154561.jpg,3.7,False,Raya Martín,19.4,a,1,3,142,0,0,0,0,0.0,25.8,Raya,,,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,0,38,0.00,0.03,0.03,35.03,37,8,342,11,628,74,178,8,,,,0.0,2.26,0.0,0.0,0.92,0.89,123,4,469,74,68,11,15,3,1.0,0.34,1,Arsenal,Goalkeeper
True,True,,,109745,0,0,0,0,0,1,2.8,,0,Kepa,0.0,2,False,,,45,109745.jpg,3.4,False,Arrizabalaga Revuelta,0.8,a,1,3,106,0,0,0,0,0.0,23.6,Arrizabalaga,,,2790,0,0,8,39,0,0,0,3,0,97,7,406,744.4,10.4,4.0,75.8,0,31,0.06,0.03,0.09,38.83,38,9,344,12,333,1,183,9,,,,0.0,3.13,0.0,0.0,1.25,1.26,359,21,142,49,94,16,227,35,1.0,0.26,1,Arsenal,Goalkeeper
True,True,,,463748,0,0,0,0,0,1,1.5,,0,Karl,0.0,3,False,,,40,463748.jpg,0.0,False,Hein,0.8,a,1,3,0,0,0,0,0,0.0,0.0,Hein,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,435,53,425,44,394,29,435,53,,,,0.0,0.0,0.0,0.0,0.0,0.0,591,58,56,27,438,53,223,33,0.0,0.0,1,Arsenal,Goalkeeper
True,True,,,551221,0,0,0,0,0,1,1.5,,0,Tommy,0.0,4,False,,,40,551221.jpg,0.0,False,Setford,0.3,a,1,3,0,0,0,0,0,0.0,0.0,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,469,64,460,55,434,42,469,64,,,,0.0,0.0,0.0,0.0,0.0,0.0,634,71,99,40,472,64,396,57,0.0,0.0,1,Arsenal,Goalkeeper
True,True,,,226597,0,0,0,0,0,2,4.5,,0,Gabriel,0.0,5,False,,,60,226597.jpg,4.2,False,dos Santos Magalhães,30.0,a,1,3,117,0,0,0,0,0.0,19.5,Gabriel,,,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,0,28,2.70,1.21,3.91,23.09,96,32,167,36,107,12,121,31,,,,0.1,0.0,0.05,0.15,0.88,0.84,94,5,569,215,32,1,8,2,1.07,0.38,1,Arsenal,Defender
True,True,,,462424,0,0,0,0,0,2,4.5,,0,William,0.0,6,False,,,60,462424.jpg,3.7,False,Saliba,17.4,a,1,3,130,0,0,0,0,0.0,21.7,Saliba,,,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,0,35,2.42,1.28,3.70,30.32,59,21,203,55,209,62,139,36,,,,0.07,0.0,0.04,0.11,0.9,0.86,99,7,574,217,70,11,18,7,1.04,0.36,1,Arsenal,Defender
True,True,,,466075,0,0,0,0,0,2,3.8,,0,Riccardo,0.0,7,False,,,55,466075.jpg,2.1,False,Calafiori,0.3,a,1,3,39,0,0,0,0,0.0,7.1,Calafiori,,,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,0,11,0.86,0.69,1.55,10.28,222,80,221,65,167,35,230,68,,,,0.08,0.0,0.06,0.14,0.95,1.1,173,25,519,205,236,83,390,160,1.01,0.09,1,Arsenal,Defender
True,True,,,445122,0,0,0,0,0,2,3.8,,0,Jurriën,0.0,8,False,,,55,445122.jpg,3.8,False,Timber,2.6,a,1,3,114,0,0,0,0,0.0,20.7,J.Timber,,,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,0,27,1.23,1.30,2.53,21.09,162,56,123,24,117,15,138,35,,,,0.05,0.0,0.05,0.1,0.79,0.78,169,23,515,203,59,6,118,36,1.01,0.41,1,Arsenal,Defender
True,True,,,440854,0,0,0,0,0,2,3.8,,0,Jakub,0.0,9,False,,,55,440854.jpg,2.5,False,Kiwior,0.1,a,1,3,43,0,0,0,0,0.0,7.8,Kiwior,,,1117,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32.0,39.2,0,10,0.17,0.29,0.46,14.71,214,77,244,82,286,102,261,88,,,,0.01,0.0,0.02,0.03,1.19,1.21,164,21,510,201,187,65,636,214,0.81,0.24,1,Arsenal,Defender
True,True,,,499169,0,0,0,0,0,2,3.8,,0,Myles,0.0,10,False,,,55,499169.jpg,1.6,False,Lewis-Skelly,6.3,a,1,3,37,0,0,0,0,0.0,6.7,Lewis-Skelly,,,1362,1,0,5,16,0,0,0,3,2,0,0,237,176.0,170.7,57.0,40.0,0,15,0.16,0.51,0.67,16.65,268,99,193,49,257,90,258,85,,,,0.01,0.0,0.03,0.04,1.1,1.06,184,28,530,208,297,105,58,19,0.99,0.33,1,Arsenal,Defender
